管理單位,站名,站號,觀測日期,0時(cms),1時(cms),2時(cms),3時(cms),4時(cms),5時(cms),6時(cms),7時(cms),8時(cms),9時(cms),10時(cms),11時(cms),12時(cms),13時(cms),14時(cms),15時(cms),16時(cms),17時(cms),18時(cms),19時(cms),20時(cms),21時(cms),22時(cms),23時(cms),時平均流量(cms)
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/1/1 上午 12:00:00,14.68,14.68,14.68,14.68,14.68,14.68,14.68,14.25,14.68,14.68,14.68,14.25,14.68,14.68,14.25,14.25,14.68,14.68,14.68,14.68,14.68,14.68,14.68,14.68,14.61
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/1/2 上午 12:00:00,14.68,14.68,15.11,15.11,15.11,15.11,15.11,15.11,15.11,15.55,15.55,15.55,15.55,15.11,15.55,15.55,15.55,15.55,15.55,15.55,15.55,15.98,15.98,15.98,15.40
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/1/3 上午 12:00:00,16.42,16.42,16.42,16.42,16.42,16.42,16.42,16.42,15.98,15.98,15.98,15.98,16.42,16.42,15.98,15.55,15.98,15.98,15.98,15.55,15.55,15.55,15.55,15.98,16.07
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/1/4 上午 12:00:00,15.98,15.55,15.55,15.55,15.11,15.55,15.11,15.11,15.11,15.11,15.11,15.11,15.55,15.11,15.11,15.55,15.11,15.11,15.11,15.11,15.11,15.11,14.68,14.68,15.20
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/1/5 上午 12:00:00,15.11,14.68,14.68,15.11,15.11,14.68,14.68,15.11,14.68,15.11,15.11,15.11,15.11,15.11,15.11,15.11,14.68,14.68,14.68,14.68,14.68,14.68,14.68,14.68,14.87
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/1/6 上午 12:00:00,14.68,14.68,14.68,14.25,14.25,14.25,14.25,14.25,14.68,14.25,14.25,14.25,14.25,14.25,14.25,14.25,14.25,14.25,14.25,14.25,14.25,14.25,13.81,13.81,14.28
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/1/7 上午 12:00:00,14.25,14.25,14.25,14.25,14.25,14.68,14.68,14.25,14.25,14.25,14.25,14.25,14.68,14.25,14.25,14.25,14.25,14.25,13.81,14.25,14.68,14.25,14.25,14.25,14.30
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/1/8 上午 12:00:00,14.25,14.25,14.25,14.25,14.25,14.25,14.25,14.25,14.25,14.25,14.25,14.25,14.25,14.25,14.25,13.81,13.81,14.25,14.25,14.25,14.25,14.25,14.25,14.25,14.21
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/1/9 上午 12:00:00,14.68,14.68,14.68,14.68,14.68,14.68,14.68,14.68,15.11,14.68,14.68,14.68,14.68,15.11,14.68,14.68,14.68,14.25,14.68,14.68,14.68,14.68,14.68,14.68,14.70
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/1/10 上午 12:00:00,13.81,13.81,13.81,14.25,13.81,13.81,13.81,13.81,13.81,14.25,14.25,14.25,14.25,14.25,13.38,12.51,12.94,12.94,14.25,13.81,14.25,13.81,14.25,13.81,13.83
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/1/11 上午 12:00:00,13.38,13.38,13.38,13.38,13.38,13.38,13.38,13.38,13.38,13.38,13.38,13.81,13.38,13.38,13.38,13.38,13.38,13.81,13.38,13.38,13.38,13.38,13.81,13.38,13.44
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/1/12 上午 12:00:00,12.94,12.94,12.94,12.94,12.94,12.94,12.94,12.94,12.51,12.94,13.38,12.94,13.38,12.94,12.94,12.94,12.94,12.51,12.94,12.94,12.94,12.94,12.94,12.94,12.94
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/1/13 上午 12:00:00,12.51,12.51,12.51,12.51,12.51,12.51,12.51,12.51,12.51,12.51,12.51,12.51,12.51,12.51,12.16,12.16,12.16,12.16,12.16,12.16,12.16,12.51,12.16,12.51,12.39
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/1/14 上午 12:00:00,12.16,11.80,12.16,12.16,12.16,12.16,11.80,12.16,11.80,11.80,11.80,12.16,12.16,11.45,10.03,10.39,10.39,10.39,10.39,10.39,10.03,10.39,10.03,10.39,11.25
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/1/15 上午 12:00:00,10.03,10.03,10.03,10.03,10.03,10.03,9.68,9.68,10.03,10.03,9.68,7.82,7.54,7.54,7.54,7.54,7.25,7.54,7.54,7.25,7.54,7.54,7.54,7.54,8.60
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/1/16 上午 12:00:00,7.25,7.54,7.54,7.82,7.82,7.82,7.82,8.11,7.82,8.11,8.11,8.11,8.11,8.68,8.40,8.40,8.40,8.40,8.68,8.40,8.68,8.40,8.40,8.40,8.15
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/1/17 上午 12:00:00,8.40,8.40,8.40,8.40,8.11,8.11,8.40,8.11,8.11,8.40,8.40,8.11,8.11,8.11,8.11,8.11,8.11,8.11,8.11,8.11,8.11,8.11,8.40,8.11,8.20
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/1/18 上午 12:00:00,8.11,8.11,8.11,8.11,8.40,8.40,8.40,8.40,8.40,8.40,8.11,8.40,8.40,8.40,8.40,8.40,8.40,8.40,8.40,8.40,8.11,8.11,8.11,8.11,8.30
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/1/19 上午 12:00:00,8.40,8.40,8.40,8.40,8.40,8.40,8.40,8.40,8.11,8.11,8.40,8.11,8.11,8.11,8.11,8.11,8.11,8.11,8.11,8.11,8.11,8.11,8.11,8.40,8.23
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/1/20 上午 12:00:00,8.40,8.40,8.40,8.68,8.40,8.40,8.40,8.40,8.40,8.40,8.68,8.40,8.68,8.40,8.68,8.68,8.68,8.97,9.32,9.68,9.32,9.68,10.03,10.03,8.82
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/1/21 上午 12:00:00,10.39,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,11.09,10.74,11.09,11.45,11.09,11.45,11.45,11.45,10.90
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/1/22 上午 12:00:00,11.80,12.16,12.16,11.80,11.45,11.45,11.09,10.74,10.74,10.74,10.39,10.39,10.03,10.03,10.03,10.03,10.03,9.68,10.03,10.03,9.68,9.68,9.68,9.68,10.54
